afiseazaClientiCuReducere,2021-04-24 00:46:23.189
afiseazaClientiDupaVarsta,2021-04-24 00:46:23.214
afiseazaPlatileClientului,2021-04-24 00:46:23.243
afiseazaPlatileTichetelor,2021-04-24 00:46:23.246
calculeazaVenituri,2021-04-24 00:46:23.247
afiseazaClientiCuReducere,2021-04-24 00:47:54.757
afiseazaClientiDupaVarsta,2021-04-24 00:47:54.788
afiseazaPlatileClientului,2021-04-24 00:47:54.819
afiseazaPlatileTichetelor,2021-04-24 00:47:54.819
calculeazaVenituri,2021-04-24 00:47:54.819
writeClient,2021-04-24 00:47:54.857
afiseazaClientiCuReducere,2021-04-24 00:48:24.882
afiseazaClientiDupaVarsta,2021-04-24 00:48:24.913
afiseazaPlatileClientului,2021-04-24 00:48:24.929
afiseazaPlatileTichetelor,2021-04-24 00:48:24.944
calculeazaVenituri,2021-04-24 00:48:24.944
writeClient,2021-04-24 00:48:24.967
afiseazaClientiCuReducere,2021-04-24 00:48:45.727
afiseazaClientiDupaVarsta,2021-04-24 00:48:45.743
afiseazaPlatileClientului,2021-04-24 00:48:45.774
afiseazaPlatileTichetelor,2021-04-24 00:48:45.79
calculeazaVenituri,2021-04-24 00:48:45.796
writeClient,2021-04-24 00:48:45.827
writeClient,2021-04-24 00:48:45.827
afiseazaClientiCuReducere,2021-04-24 00:51:22.556
afiseazaClientiDupaVarsta,2021-04-24 00:51:22.584
afiseazaPlatileClientului,2021-04-24 00:51:22.614
afiseazaPlatileTichetelor,2021-04-24 00:51:22.62
calculeazaVenituri,2021-04-24 00:51:22.621
writeClient,2021-04-24 00:51:22.644
writeClient,2021-04-24 00:51:22.646
writeEveniment,2021-04-24 00:51:22.653
writeEveniment,2021-04-24 00:51:22.655
writeLocatie,2021-04-24 00:51:22.659
writeLocatie,2021-04-24 00:51:22.661
writeTichet,2021-04-24 00:51:22.683
writeTichet,2021-04-24 00:51:22.687
writeTichet,2021-04-24 00:51:22.69
afiseazaClientiCuReducere,2021-05-23 23:33:06.794
afiseazaClientiDupaVarsta,2021-05-23 23:33:06.825
afiseazaPlatileClientului,2021-05-23 23:33:06.891
afiseazaPlatileTichetelor,2021-05-23 23:33:06.894
calculeazaVenituri,2021-05-23 23:33:06.895
writeClient,2021-05-23 23:33:06.946
writeClient,2021-05-23 23:33:06.948
writeEveniment,2021-05-23 23:33:06.95
writeEveniment,2021-05-23 23:33:06.952
writeLocatie,2021-05-23 23:33:06.957
writeLocatie,2021-05-23 23:33:06.959
writeTichet,2021-05-23 23:33:07.002
writeTichet,2021-05-23 23:33:07.004
writeTichet,2021-05-23 23:33:07.006
